  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  0.000000000000000e+00  99.823046157131401  0.000000000000000 2276.129839537671160  -21170.987155723101750  -18894.857316185429227 
  5.000000000000000e-15  99.430066433986141  0.000000000000000 2267.169254696612370  -21153.065287024073768  -18885.896032327462308 
  1.000000000000000e-14  98.775883795074591  0.000000000000000 2252.252813230882566  -21123.229899935293361  -18870.977086704409885 
  1.500000000000000e-14  97.862741911230444  0.000000000000000 2231.431674530326291  -21081.582692906751618  -18850.151018376425782 
  2.000000000000000e-14  96.694206918839456  0.000000000000000 2204.787152377213260  -21028.285410399832472  -18823.498258022620576 
  2.500000000000000e-14  95.275447081836731  0.000000000000000 2172.437091700280689  -20963.572595041518071  -18791.135503341236472 
  3.000000000000000e-14  93.613593183031369  0.000000000000000 2134.544086090445944  -20887.768030660878139  -18753.223944570432650 
  3.500000000000000e-14  91.718175307735095  0.000000000000000 2091.325437186824274  -20801.304686506606231  -18709.979249319781957 
  4.000000000000000e-14  89.601625625825946  0.000000000000000 2043.064618935748285  -20704.747699715771887  -18661.683080780025193 
  4.500000000000000e-14  87.279827237113750  0.000000000000000 1990.123792168963064  -20598.819500560675806  -18608.695708391711378 
  5.000000000000000e-14  84.772675394772818  0.000000000000000 1932.956601422036329  -20484.425558996321342  -18551.468957574285014 
  5.500000000000000e-14  82.104599400629183  0.000000000000000 1872.120075006427442  -20362.678405373808346  -18490.558330367381132 
  6.000000000000001e-14  79.304972601851347  0.000000000000000 1808.283973609194618  -20234.916615241480031  -18426.632641632284503 
  6.500000000000000e-14  76.408318150720433  0.000000000000000 1742.235481954567831  -20102.714524488579627  -18360.479042534010659 
  6.999999999999999e-14  73.454206638372725  0.000000000000000 1674.876874684736549  -19967.877882712844439  -18293.001008028106298 
  7.500000000000001e-14  70.486747936098098  0.000000000000000 1607.213929504612224  -19832.420906090741482  -18225.206976586130622 
  8.000000000000000e-14  67.553612281810388  0.000000000000000 1540.333606341292125  -19698.521671777576557  -18158.188065436283068 
  8.499999999999999e-14  64.704576976475735  0.000000000000000 1475.370909629342805  -19568.455621741428331  -18093.084712112085981 
  9.000000000000001e-14  61.989675229268549  0.000000000000000 1413.466678931913066  -19444.510671201176592  -18031.043992269263981 
  9.500000000000000e-14  59.457101039627545  0.000000000000000 1355.719816801386060  -19328.891029125970817  -17973.171212324585213 
  9.999999999999999e-14  57.151073500534530  0.000000000000000 1303.138591377119383  -19223.619147227323992  -17920.480555850204837 
  1.050000000000000e-13  55.109870455531500  0.000000000000000 1256.595800527267784  -19130.445501262071048  -17873.849700734805083 
  1.100000000000000e-13  53.364208054285690  0.000000000000000 1216.791823047154594  -19050.774326347971510  -17833.982503300816461 
  1.150000000000000e-13  51.936086547623738  0.000000000000000 1184.228300885331691  -18985.610801550443284  -17801.382500665113184 
  1.200000000000000e-13  50.838162498530366  0.000000000000000 1159.193824520484668  -18935.532402510558313  -17776.338577990074555 
  1.250000000000000e-13  50.073654330447468  0.000000000000000 1141.761779307150846  -18900.684708342607337  -17758.922929035456036 
  1.300000000000000e-13  49.636744184236619  0.000000000000000 1131.799508476207166  -18880.799949102369283  -17749.000440626161435 
  1.350000000000000e-13  49.513403842569751  0.000000000000000 1128.987145571102701  -18875.234971146470343  -17746.247825575366733 
  1.400000000000000e-13  49.682546840562601  0.000000000000000 1132.843884467592716  -18883.024119879890350  -17750.180235412299226 
  1.450000000000000e-13  50.117395092441612  0.000000000000000 1142.759140712275894  -18902.941905316976772  -17760.182764604702243 
  1.500000000000000e-13  50.786947776435056  0.000000000000000 1158.026044517046103  -18933.570293319982738  -17775.544248802936636 
  1.550000000000000e-13  51.657451571599552  0.000000000000000 1177.874964579915968  -18973.365995237076277  -17795.491030657161900 
  1.600000000000000e-13  52.693790969831149  0.000000000000000 1201.505209488391301  -19020.724039042073855  -17819.218829553683463 
  1.650000000000000e-13  53.860740664264483  0.000000000000000 1228.113584237425584  -19074.034979707630555  -17845.921395470206335 
  1.700000000000000e-13  55.124044818247839  0.000000000000000 1256.918999339337233  -19131.734155057813041  -17874.815155718475580 
  1.750000000000000e-13  56.451307566455149  0.000000000000000 1287.182775715643629  -19192.342288329800795  -17905.159512614158302 
  1.800000000000000e-13  57.812694084839897  0.000000000000000 1318.224630246533025  -19254.497422337990429  -17936.272792091458541 
  1.850000000000000e-13  59.181451839187680  0.000000000000000 1349.434561096221614  -19316.978636350078887  -17967.544075253856136 
  1.900000000000000e-13  60.534267721255624  0.000000000000000 1380.280991005090755  -19378.722272414110193  -17998.441281409021030 
  1.950000000000000e-13  61.851479519092386  0.000000000000000 1410.315589161190701  -19438.831519967276108  -18028.515930806086544 
  2.000000000000000e-13  63.117160367878697  0.000000000000000 1439.175196818512859  -19496.580214362293191  -18057.405017543780559 
  2.050000000000000e-13  64.319093228779693  0.000000000000000 1466.581245372785816  -19551.411630146489188  -18084.830384773704282 
  2.100000000000000e-13  65.448649730056005  0.000000000000000 1492.336993739269246  -19602.932923795233364  -18110.595930055962526 
  2.150000000000000e-13  66.500584588745866  0.000000000000000 1516.322840828575181  -19650.905736346343474  -18134.582895517767611 
  2.200000000000000e-13  67.472754109371067  0.000000000000000 1538.489906853600360  -19695.233339332757168  -18156.743432479157491 
  2.250000000000000e-13  68.365765787239027  0.000000000000000 1558.852043707764096  -19735.944638051863876  -18177.092594344099780 
  2.300000000000000e-13  69.182566628107679  0.000000000000000 1577.476447975430347  -19773.175370815089991  -18195.698922839659645 
  2.350000000000000e-13  69.927980965569347  0.000000000000000 1594.473122407151095  -19807.146987447420543  -18212.673865040269447 
  2.400000000000000e-13  70.608214296791090  0.000000000000000 1609.983562557461028  -19838.143954290542752  -18228.160391733083088 
  2.450000000000000e-13  71.230347089962095  0.000000000000000 1624.169214761088597  -19866.490578068063769  -18242.321363306975400 
  2.500000000000000e-13  71.801849695525206  0.000000000000000 1637.200415310187282  -19892.528777416042431  -18255.328362105854467 
  2.550000000000000e-13  72.330153566790344  0.000000000000000 1649.246613578246752  -19916.598426529151766  -18267.351812950906606 
  2.600000000000000e-13  72.822312032462278  0.000000000000000 1660.468637075039624  -19939.021811565053213  -18278.553174490014499 
  2.650000000000000e-13  73.284774263108815  0.000000000000000 1671.013537509925754  -19960.093299816940998  -18289.079762307013880 
  2.700000000000000e-13  73.723279888511186  0.000000000000000 1681.012187893840974  -19980.074570635282726  -18299.062382741441979 
  2.750000000000000e-13  74.142862889947679  0.000000000000000 1690.579371289843948  -19999.194880378861853  -18308.615509089016996 
  2.800000000000000e-13  74.547937343439727  0.000000000000000 1699.815735900242089  -20017.655086920512986  -18317.839351020269532 
  2.850000000000000e-13  74.942428850070087  0.000000000000000 1708.810791894347858  -20035.633755351471336  -18326.822963457125297 
  2.900000000000000e-13  75.329915690697419  0.000000000000000 1717.646129968399691  -20053.293681694198312  -18335.647551725800440 
